OP_0,61,FLOAT,DIV,"(float)k","N","arg"
OP_1,83,FLOAT,ADD,"t.real","OP_2","NULL"
OP_2,83,FLOAT,SUB,"OP_3","OP_4","NULL"
OP_3,83,FLOAT,MUL,"x[indices[oI]].real","fftCos","NULL"
OP_4,83,FLOAT,MUL,"x[indices[oI]].imag","fftSin","NULL"
OP_5,84,FLOAT,ADD,"t.imag","OP_6","NULL"
OP_6,84,FLOAT,ADD,"OP_7","OP_8","NULL"
OP_7,84,FLOAT,MUL,"x[indices[oI]].imag","fftCos","NULL"
OP_8,84,FLOAT,MUL,"x[indices[oI]].real","fftSin","NULL"
OP_9,86,FLOAT,SUB,"t.real","OP_10","NULL"
OP_10,86,FLOAT,SUB,"OP_11","OP_12","NULL"
OP_11,86,FLOAT,MUL,"x[indices[oI]].real","fftCos","NULL"
OP_12,86,FLOAT,MUL,"x[indices[oI]].imag","fftSin","NULL"
OP_13,87,FLOAT,SUB,"t.imag","OP_14","NULL"
OP_14,87,FLOAT,ADD,"OP_15","OP_16","NULL"
OP_15,87,FLOAT,MUL,"x[indices[oI]].imag","fftCos","NULL"
OP_16,87,FLOAT,MUL,"x[indices[oI]].real","fftSin","NULL"
